product_id,listed_price,current_bid,past_bids_count,time_since_listing,suggested_bid
1,817.73,0.0,1,19,0.0
1,817.73,0.0,2,19,0.0
1,817.73,4532.0,3,19,4532.0
1,817.73,7898.0,4,19,7898.0
1,817.73,9000.0,5,19,9000.0
4,583.06,0.0,1,19,0.0
4,583.06,897.0,2,19,897.0
4,583.06,65241.0,3,19,65241.0
4,583.06,1982782.0,4,19,1982782.0
4,583.06,78632564.0,5,19,78632564.0
5,203.74,0.0,1,19,0.0
5,203.74,2421.0,2,19,2421.0
5,203.74,10000.0,3,19,10000.0
5,203.74,12000.0,4,19,12000.0
7,440.79,500.0,1,17,500.0
8,164.1,0.0,1,17,0.0
10,624.76,700.0,1,17,700.0
10,624.76,800.0,2,17,800.0
10,624.76,900.0,3,17,900.0
11,814.97,900.0,1,17,900.0
